======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE   1257   1.393869e+02   6.427127e+00   6.334137e+03   6.023928e+02  -8.306925e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.456383e+03   5.730179e-01   3.394778e-01   1.764082e-01
 POSE   1258   1.165766e+02   6.427127e+00   8.788128e+04   6.038502e+02  -8.364377e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.797643e+04   7.155996e-01   3.394778e-01   5.601818e-01
 POSE   1259   1.195582e+02   6.427127e+00   1.049179e+05   6.652922e+02  -8.316519e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.050823e+05   6.627061e-01   3.394778e-01   2.678254e-01
 POSE   1260   1.170230e+02   6.427127e+00   1.891511e+05   6.553063e+02  -8.375035e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.892971e+05   6.730440e-01   3.394778e-01   2.674989e-01
 POSE   1261   1.304401e+02   6.427127e+00   2.416768e+04   5.287289e+02  -8.292476e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.420877e+04   7.908783e-01   3.394778e-01   2.159305e-01
 POSE   1262   1.294537e+02   6.427127e+00   1.642991e+05   5.294051e+02  -8.316147e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.643375e+05   6.745856e-01   3.394778e-01   3.541790e-01
 POSE   1263   1.307128e+02   6.427127e+00   6.697888e+04   5.544468e+02  -8.307889e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.704441e+04   1.945385e-01   3.394778e-01   2.515887e-01
 POSE   1264   1.227405e+02   6.427127e+00   5.166401e+03   4.412355e+02  -8.358689e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.105667e+03   6.403487e-01   3.394778e-01   1.622486e-01
 POSE   1265   1.373059e+02   6.427127e+00   1.502059e+04   4.947908e+02  -8.309154e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.503293e+04   2.140405e-01   3.394778e-01   2.191056e-01
 POSE   1266   1.318570e+02   6.427127e+00   6.143161e+04   5.610323e+02  -8.352680e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.150039e+04   6.481742e-01   3.394778e-01   3.024406e-01
 POSE   1267   1.326530e+02   6.427127e+00   8.936472e+02   5.223385e+02  -8.329983e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.267996e+02   7.636901e-01   3.394778e-01   1.049667e-01
 POSE   1268   1.230568e+02   6.427127e+00   1.545208e+03   4.808495e+02  -8.335332e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.526740e+03   7.744796e-01   3.394778e-01   1.008849e-01
 POSE   1269   1.205850e+02   6.427127e+00   5.513309e+04   6.022191e+02  -8.353851e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.523167e+04   4.877982e-01   3.394778e-01   2.347509e-01
 POSE   1270   1.175771e+02   6.427127e+00   1.285260e+04   5.841238e+02  -8.357251e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.292974e+04   5.571960e-01   3.394778e-01   1.879418e-01
 POSE   1271   1.329465e+02   6.427127e+00   7.746909e+04   5.403153e+02  -8.318923e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.752162e+04   7.874205e-01   3.394778e-01   3.649628e-01
 POSE   1272   1.326528e+02   6.427127e+00   5.398333e+04   4.317203e+02  -8.320569e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.392680e+04   6.159963e-01   3.394778e-01   3.502083e-01
 POSE   1273   1.252486e+02   6.427127e+00   2.711052e+04   4.725974e+02  -8.315625e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.708797e+04   7.387240e-01   3.394778e-01   2.044830e-01
 POSE   1274   1.304923e+02   6.427127e+00   5.013196e+04   5.341309e+02  -8.328906e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.017485e+04   3.738318e-01   3.394778e-01   2.834411e-01
 POSE   1275   1.342947e+02   6.427127e+00   8.841619e+04   5.995876e+02  -8.343321e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.852690e+04   6.913202e-01   3.394778e-01   2.945421e-01
 POSE   1276   1.249415e+02   6.427127e+00   6.128884e+04   6.282797e+02  -8.322835e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.142094e+04   6.476679e-01   3.394778e-01   3.910646e-01
 POSE   1277   1.279772e+02   6.427127e+00   9.582059e+03   5.093743e+02  -8.360319e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.594538e+03   5.154705e-01   3.394778e-01   1.451847e-01
 POSE   1278   1.329510e+02   6.427127e+00   2.455813e+03   5.300939e+02  -8.312917e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.498726e+03   6.577487e-01   3.394778e-01   2.501077e-01
 POSE   1279   1.222502e+02   6.427127e+00   1.319458e+04   5.457474e+02  -8.319153e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.324182e+04   6.946077e-01   3.394778e-01   2.093833e-01
 POSE   1280   1.384196e+02   6.427127e+00   9.849722e+03   5.678390e+02  -8.309525e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.936187e+03   7.833577e-01   3.394778e-01   1.778022e-01
 POSE   1281   1.331068e+02   6.427127e+00   4.170762e+04   3.973200e+02  -8.345563e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.161465e+04   6.310245e-01   3.394778e-01   2.945795e-01
 POSE   1282   1.278767e+02   6.427127e+00   1.159291e+05   6.203158e+02  -8.334204e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.160551e+05   4.331515e-01   3.394778e-01   3.643813e-01
 POSE   1283   1.260753e+02   6.427127e+00   1.524427e+05   6.201176e+02  -8.340479e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.525661e+05   6.659876e-01   3.394778e-01   2.551098e-01
 POSE   1284   1.246454e+02   6.427127e+00   1.587709e+04   5.931031e+02  -8.360344e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.596997e+04   4.925815e-01   3.394778e-01   2.555830e-01
 POSE   1285   1.210697e+02   6.427127e+00   9.564043e+02   5.893578e+02  -8.356813e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.042310e+03   6.093066e-01   3.394778e-01   2.181091e-01
 POSE   1286   1.236544e+02   6.427127e+00   4.336297e+03   5.938074e+02  -8.311042e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.433814e+03   4.365412e-01   3.394778e-01   2.811863e-01
 POSE   1287   1.234957e+02   6.427127e+00   1.029278e+05   3.956729e+02  -8.297829e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.028284e+05   6.603325e-01   3.394778e-01   1.712859e-01
 POSE   1288   1.335804e+02   6.427127e+00   1.662364e+03   5.384873e+02  -8.294377e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.716153e+03   5.684769e-01   3.394778e-01   2.690109e-01
 POSE   1289   1.156083e+02   6.427127e+00   6.155488e+03   5.821613e+02  -8.323205e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.232096e+03   6.552521e-01   3.394778e-01   2.075682e-01
 POSE   1290   1.366479e+02   6.427127e+00  -1.476571e+01   5.927040e+02  -8.343046e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.144062e+01   7.204265e-01   3.394778e-01   7.492512e-02
 POSE   1291   1.173517e+02   6.427127e+00   1.589618e+04   5.814693e+02  -8.285121e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.597765e+04   7.367244e-01   3.394778e-01   1.958850e-01
 POSE   1292   1.282208e+02   6.427127e+00   1.457020e+05   6.101693e+02  -8.301493e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.458214e+05   6.106648e-01   3.394778e-01   4.656030e-01
 POSE   1293   1.125239e+02   6.427127e+00   1.701606e+04   6.262022e+02  -8.381636e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.712778e+04   6.366273e-01   3.394778e-01   2.507699e-01
 POSE   1294   1.263851e+02   6.427127e+00   3.378484e+04   5.645612e+02  -8.346642e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.385228e+04   5.723442e-01   3.394778e-01   2.457507e-01
 POSE   1295   1.238308e+02   6.427127e+00   1.195012e+04   5.888903e+02  -8.359787e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.203802e+04   6.526365e-01   3.394778e-01   3.348201e-01
 POSE   1296   1.249247e+02   6.427127e+00   7.213453e+04   4.867873e+02  -8.325866e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.212481e+04   6.838414e-01   3.394778e-01   4.460127e-01
 POSE   1297   1.140927e+02   6.427127e+00   5.170299e+04   5.469720e+02  -8.325676e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.174265e+04   2.134675e-01   3.394778e-01   3.664461e-01
 POSE   1298   1.390222e+02   6.427127e+00   1.487553e+05   5.595377e+02  -8.349762e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.488301e+05   5.187457e-01   3.394778e-01   3.211582e-01
 POSE   1299   1.285945e+02   6.427127e+00   2.289044e+03   6.293416e+02  -8.352747e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.422864e+03   6.062287e-01   3.394778e-01   1.849399e-01
 POSE   1300   1.277855e+02   6.427127e+00   6.207442e+04   6.396374e+02  -8.342340e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.221877e+04   6.797876e-01   3.394778e-01   3.558592e-01
 POSE   1301   1.232191e+02   6.427127e+00   1.413634e+05   5.397844e+02  -8.350455e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.414025e+05   4.269607e-01   3.394778e-01   2.728078e-01
 POSE   1302   1.143257e+02   6.427127e+00   1.450657e+05   6.302184e+02  -8.329316e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.451885e+05   7.280597e-01   3.394778e-01   3.431863e-01
 POSE   1303   1.235651e+02   6.427127e+00   1.945978e+05   6.414280e+02  -8.314056e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.947426e+05   6.723989e-01   3.394778e-01   3.787833e-01
 POSE   1304   1.253170e+02   6.427127e+00   1.086300e+05   5.972314e+02  -8.317221e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.087320e+05   2.741485e-01   3.394778e-01   3.475231e-01
 POSE   1305   1.252958e+02   6.427127e+00   1.477896e+04   6.895552e+02  -8.341449e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.497082e+04   6.584848e-01   3.394778e-01   2.879233e-01
 POSE   1306   1.297818e+02   6.427127e+00   7.860104e+04   5.546571e+02  -8.310531e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.866558e+04   5.786104e-01   3.394778e-01   4.081020e-01
 POSE   1307   1.207862e+02   6.427127e+00   2.089077e+04   5.665938e+02  -8.301132e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.095920e+04   5.659249e-01   3.394778e-01   3.312169e-01
 POSE   1308   1.136819e+02   6.427127e+00   1.456361e+04   4.796699e+02  -8.322422e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.453588e+04   7.372831e-01   3.394778e-01   3.304073e-01
 POSE   1309   1.346634e+02   6.427127e+00   1.915445e+05   4.692412e+02  -8.326248e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.915269e+05   5.450591e-01   3.394778e-01   4.056267e-01
 POSE   1310   1.205893e+02   6.427127e+00   2.044514e+05   5.997432e+02  -8.352476e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.045476e+05   6.232592e-01   3.394778e-01   3.938805e-01
 POSE   1311   1.318879e+02   6.427127e+00   5.597811e+03   6.237565e+02  -8.327094e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.731905e+03   6.005062e-01   3.394778e-01   2.480196e-01
 POSE   1312   1.202564e+02   6.427127e+00   3.360123e+04   5.452147e+02  -8.372162e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.364065e+04   7.236887e-01   3.394778e-01   2.842134e-01
 POSE   1313   1.205087e+02   6.427127e+00   1.340653e+04   6.148296e+02  -8.353971e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.351763e+04   7.156114e-01   3.394778e-01   2.766746e-01
 POSE   1314   1.277144e+02   6.427127e+00   1.615700e+04   5.886565e+02  -8.365255e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.624800e+04   5.681777e-01   3.394778e-01   2.954952e-01
 POSE   1315   1.162894e+02   6.427127e+00   1.975212e+05   7.390417e+02  -8.327182e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.977550e+05   5.344005e-01   3.394778e-01   3.515135e-01
 POSE   1316   1.351237e+02   6.427127e+00   5.039848e+04   4.123365e+02  -8.293411e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.032775e+04   5.531045e-01   3.394778e-01   3.485415e-01
 POSE   1317   1.263790e+02   6.427127e+00   6.597603e+04   5.460700e+02  -8.365130e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.602312e+04   5.797819e-01   3.394778e-01   4.204646e-01
 POSE   1318   1.299451e+02   6.427127e+00   2.074671e+05   5.069983e+02  -8.323360e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.074829e+05   6.236854e-01   3.394778e-01   4.621961e-01
 POSE   1319   1.322368e+02   6.427127e+00   4.603658e+03   4.380215e+02  -8.309073e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.554168e+03   7.642802e-01   3.394778e-01   2.175945e-01
 POSE   1320   1.140663e+02   6.427127e+00   1.411767e+04   5.835660e+02  -8.379748e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.418849e+04   5.428370e-01   3.394778e-01   3.225510e-01
 POSE   1321   1.315168e+02   6.427127e+00   3.699430e+04   5.588864e+02  -8.330791e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.706279e+04   5.882119e-01   3.394778e-01   2.122538e-01
 POSE   1322   1.314962e+02   6.427127e+00   5.604162e+04   5.745972e+02  -8.302044e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.612867e+04   7.320312e-01   3.394778e-01   3.196650e-01
 POSE   1323   1.259955e+02   6.427127e+00   1.433734e+04   3.524322e+02  -8.285245e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.419841e+04   7.807281e-01   3.394778e-01   1.965675e-01
 POSE   1324   1.294126e+02   6.427127e+00   1.657064e+04   7.233838e+02  -8.337612e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.680083e+04   6.137859e-01   3.394778e-01   3.936234e-01
 POSE   1325   1.203043e+02   6.427127e+00   4.285447e+02   5.925042e+02  -8.317519e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.207604e+02   7.455491e-01   3.394778e-01   1.221877e-01
 POSE   1326   1.341053e+02   6.427127e+00   3.490855e+04   5.401250e+02  -8.333100e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.496063e+04   4.814325e-01   3.394778e-01   3.021924e-01
 POSE   1327   1.329308e+02   6.427127e+00   9.501784e+04   6.154530e+02  -8.299200e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.514747e+04   6.839249e-01   3.394778e-01   5.035601e-01
 POSE   1328   1.346854e+02   6.427127e+00   1.071565e+04   5.779658e+02  -8.326406e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.080682e+04   5.773334e-01   3.394778e-01   2.659383e-01
 POSE   1329   1.440923e+02   6.427127e+00   7.077004e+04   5.765009e+02  -8.299595e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.087183e+04   6.250554e-01   3.394778e-01   3.790576e-01
 POSE   1330   1.280467e+02   6.427127e+00   2.242277e+02   4.757648e+02  -8.358449e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.033534e+02   6.273298e-01   3.394778e-01   1.264101e-01
 POSE   1331   1.254725e+02   6.427127e+00   6.075916e+04   5.624463e+02  -8.353043e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.082293e+04   6.565055e-01   3.394778e-01   4.231960e-01
 POSE   1332   1.259549e+02   6.427127e+00   1.381833e+05   5.697571e+02  -8.356740e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.382545e+05   6.964077e-01   3.394778e-01   2.834179e-01
 POSE   1333   1.160555e+02   6.427127e+00   8.319367e+02   5.755359e+02  -8.374712e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.972159e+02   5.686516e-01   3.394778e-01   1.921682e-01
 POSE   1334   1.177739e+02   6.427127e+00   5.598506e+04   4.875959e+02  -8.313148e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.597027e+04   7.488266e-01   3.394778e-01   2.305316e-01
 POSE   1335   1.157986e+02   6.427127e+00   1.677706e+05   5.333329e+02  -8.374885e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.677934e+05   4.825496e-01   3.394778e-01   4.820047e-01
 POSE   1336   1.169453e+02   6.427127e+00   2.620610e+04   5.657930e+02  -8.315854e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.626841e+04   3.857921e-01   3.394778e-01   3.124275e-01
 POSE   1337   1.334748e+02   6.427127e+00   1.011870e+05   6.161777e+02  -8.299021e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.013179e+05   5.535311e-01   3.394778e-01   2.648118e-01
 POSE   1338   1.291450e+02   6.427127e+00   3.325591e+05   5.165238e+02  -8.316728e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.325843e+05   6.612889e-01   3.394778e-01   5.177888e-01
 POSE   1339   1.336411e+02   6.427127e+00   1.807356e+04   5.166616e+02  -8.317096e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.810332e+04   5.417261e-01   3.394778e-01   1.862731e-01
 POSE   1340   1.230313e+02   6.427127e+00   1.231488e+04   4.287047e+02  -8.322503e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.224553e+04   7.050086e-01   3.394778e-01   2.335244e-01
 POSE   1341   1.421894e+02   6.427127e+00   8.958198e+04   4.877353e+02  -8.309784e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.959208e+04   6.981306e-01   3.394778e-01   2.836772e-01
 POSE   1342   1.354258e+02   6.427127e+00   2.669441e+03   6.143743e+02  -8.341209e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.796279e+03   7.396935e-01   3.394778e-01   1.477817e-01
 POSE   1343   1.403036e+02   6.427127e+00   1.076496e+05   4.982383e+02  -8.323757e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.076669e+05   6.407654e-01   3.394778e-01   3.547007e-01
 POSE   1344   1.262480e+02   6.427127e+00   3.105124e+03   5.136895e+02  -8.311657e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.125055e+03   1.114985e-01   3.394778e-01   2.149819e-01
 POSE   1345   1.223009e+02   6.427127e+00   2.721463e+04   5.770600e+02  -8.353494e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.728980e+04   7.014631e-01   3.394778e-01   2.581734e-01
 POSE   1346   1.175604e+02   6.427127e+00   7.793252e+04   4.419796e+02  -8.348851e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.786834e+04   5.400679e-01   3.394778e-01   2.697297e-01
 POSE   1347   1.268077e+02   6.427127e+00   9.738448e+04   4.919829e+02  -8.356404e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.737879e+04   6.156967e-01   3.394778e-01   3.127746e-01
 POSE   1348   1.219488e+02   6.427127e+00   1.086989e+04   5.871753e+02  -8.356588e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.095452e+04   5.692915e-01   3.394778e-01   2.029323e-01
 POSE   1349   1.238351e+02   6.427127e+00   3.362411e+02   6.203088e+02  -8.325044e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.590397e+02   6.041967e-01   3.394778e-01   1.138028e-01
 POSE   1350   1.347344e+02   6.427127e+00   1.291119e+05   4.932060e+02  -8.320426e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.291189e+05   5.071791e-01   3.394778e-01   2.595267e-01
 POSE   1351   1.418214e+02   6.427127e+00   1.254999e+05   6.690181e+02  -8.320963e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.256898e+05   6.677544e-01   3.394778e-01   3.078063e-01
 POSE   1352   1.257653e+02   6.427127e+00   2.635301e+04   5.639241e+02  -8.362613e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.641759e+04   6.633528e-01   3.394778e-01   3.355848e-01
 POSE   1353   1.312248e+02   6.427127e+00   7.649481e+04   4.531566e+02  -8.305231e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.645983e+04   7.056893e-01   3.394778e-01   1.816891e-01
 POSE   1354   1.258271e+02   6.427127e+00   1.091143e+05   6.031386e+02  -8.301826e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.092243e+05   5.662513e-01   3.394778e-01   2.151489e-01
 POSE   1355   1.287938e+02   6.427127e+00   4.801177e+04   6.855943e+02  -8.317748e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.820554e+04   5.593620e-01   3.394778e-01   2.814265e-01
 POSE   1356   1.196871e+02   6.427127e+00   5.152120e+03   6.926967e+02  -8.361184e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.339544e+03   6.008773e-01   3.394778e-01   2.539603e-01
 POSE   1357   1.185908e+02   6.427127e+00   1.477835e+03   6.950479e+02  -8.311553e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.671477e+03   5.771142e-01   3.394778e-01   2.803410e-01
 POSE   1358   1.329672e+02   6.427127e+00   1.200469e+03   4.908885e+02  -8.333064e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.202178e+03   6.726021e-01   3.394778e-01   1.458279e-01
 POSE   1359   1.455006e+02   6.427127e+00   1.150910e+03   5.468108e+02  -8.316136e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.222767e+03   7.262172e-01   3.394778e-01   1.508342e-01
 POSE   1360   1.261958e+02   6.427127e+00   1.405701e+04   5.478412e+02  -8.355702e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.410664e+04   5.974622e-01   3.394778e-01   1.769344e-01
 POSE   1361   1.277903e+02   6.427127e+00   1.366609e+05   5.411619e+02  -8.309365e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.367100e+05   6.259307e-01   3.394778e-01   2.838914e-01
 POSE   1362   1.313369e+02   6.427127e+00   3.005042e+03   5.164319e+02  -8.334915e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.030478e+03   6.567957e-01   3.394778e-01   2.531735e-01
 POSE   1363   1.182588e+02   6.427127e+00   4.045852e+03   6.873448e+02  -8.363949e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.226220e+03   5.710442e-01   3.394778e-01   2.492816e-01
